date,open,high,low,close,volume
2024-01-01,97.0,98.99,96.89,98.73,1619529.0
2024-01-02,98.99,100.3,98.53,98.93,2104396.0
2024-01-03,99.6,100.0,99.05,99.49,1558099.0
2024-01-04,99.99,100.05,99.6,99.7,1093494.0
2024-01-05,100.0,100.0,99.2,99.42,1452271.0
2024-01-08,99.42,100.0,99.0,99.64,1608266.0
2024-01-09,99.87,100.29,99.51,99.98,1666615.0
2024-01-10,100.2,100.22,99.5,99.89,747134.0
2024-01-11,99.98,101.8,99.89,100.97,2761964.0
2024-01-12,101.39,104.0,101.3,102.54,2685621.0
2024-01-15,102.54,102.54,102.54,102.54,0.0
2024-01-16,103.34,103.45,98.01,102.26,1501897.0
2024-01-17,102.2,102.49,101.3,101.71,512068.0
2024-01-18,101.9,102.5,100.1,102.23,956315.0
2024-01-19,102.5,102.5,100.26,100.52,874209.0
2024-01-23,101.85,101.85,100.01,100.13,610040.0
2024-01-24,100.9,103.5,99.2,100.09,937768.0
2024-01-25,100.21,100.4,99.76,99.99,1318992.0
2024-01-29,100.94,100.94,99.99,100.07,1499126.0
2024-01-30,98.0,98.64,97.49,97.94,1499972.0
2024-01-31,96.9,97.5,96.46,96.73,1431274.0
2024-02-01,97.46,98.7,96.73,97.98,1392031.0
2024-02-02,97.98,98.46,96.94,97.01,894562.0
2024-02-05,97.78,97.8,96.37,96.46,1150767.0
2024-02-06,96.45,97.12,96.25,96.99,778906.0
2024-02-07,97.85,97.95,96.32,96.63,1293484.0
2024-02-08,97.14,97.38,96.8,97.01,1526282.0
2024-02-09,97.28,97.28,96.45,96.97,1041522.0
2024-02-12,97.29,97.29,96.5,96.67,950284.0
2024-02-13,97.0,97.1,95.9,96.2,1367791.0
2024-02-14,96.0,97.18,95.81,96.87,1237944.0
2024-02-15,96.87,97.0,95.84,95.95,1477849.0
2024-02-16,96.0,96.34,95.69,96.14,1156601.0
2024-02-19,97.45,99.0,97.35,98.68,3689490.0
2024-02-20,99.3,99.4,97.81,97.92,1898211.0
2024-02-21,98.7,98.7,97.1,97.49,1960683.0
2024-02-22,97.49,97.5,96.88,96.97,1409414.0
2024-02-23,97.94,97.94,96.85,96.9,2707230.0
2024-02-26,96.71,97.49,96.65,96.76,2024419.0
2024-02-27,97.4,97.4,96.1,96.76,1485060.0
2024-02-28,97.15,97.15,96.21,96.49,1316648.0
2024-02-29,96.49,96.95,96.26,96.37,1083654.0
2024-03-01,96.7,96.7,96.0,96.35,1891705.0
2024-03-04,96.94,97.3,96.02,96.94,3543218.0
2024-03-05,97.17,97.7,96.75,97.42,1415041.0
2024-03-06,97.35,99.5,97.21,97.49,1379769.0
2024-03-07,97.75,97.97,97.2,97.27,959191.0
2024-03-11,97.8,97.8,96.46,96.75,1665586.0
2024-03-12,97.1,97.24,96.5,96.69,2814439.0
2024-03-13,96.75,97.1,95.35,95.66,2509713.0
2024-03-14,96.15,97.0,95.45,95.59,3664218.0
2024-03-15,95.59,97.2,90.9,94.15,28923692.0
2024-03-18,94.5,96.15,94.5,95.2,5070638.0
2024-03-19,95.26,95.8,95.1,95.54,1978926.0
2024-03-20,95.95,96.1,92.3,94.21,1930475.0
2024-03-21,94.86,96.4,94.24,95.18,2660444.0
2024-03-22,95.77,95.77,94.6,95.06,1474257.0
2024-03-26,95.0,95.0,93.95,94.01,2159883.0
2024-03-27,94.3,94.3,93.25,93.41,3054514.0
2024-03-28,93.48,94.9,93.38,94.71,7935429.0
2024-04-01,94.76,98.25,94.76,97.46,2205954.0
2024-04-02,97.46,98.5,96.82,98.36,4467416.0
2024-04-03,98.36,98.9,97.35,97.68,513059.0
2024-04-04,97.7,98.5,97.45,97.71,5084850.0
2024-04-05,98.25,98.5,97.32,97.91,748582.0
2024-04-08,98.0,98.3,97.45,97.83,827011.0
2024-04-09,98.85,98.85,97.6,98.18,533878.0
2024-04-10,98.01,98.8,97.98,98.19,653939.0
2024-04-12,98.65,98.65,97.35,97.76,1030138.0
2024-04-15,97.5,98.43,97.25,98.07,499487.0
2024-04-16,98.0,98.46,97.61,98.14,360502.0
2024-04-18,98.4,98.75,98.0,98.47,495038.0
2024-04-19,98.47,98.5,97.5,98.23,530435.0
2024-04-22,98.35,98.78,97.95,97.99,542535.0
2024-04-23,98.05,98.4,97.9,97.99,330516.0
2024-04-24,98.0,98.39,97.91,98.18,212957.0
2024-04-25,98.18,98.38,97.95,97.99,439656.0
2024-04-26,97.99,98.42,97.99,98.26,279432.0
2024-04-29,98.0,98.26,97.83,97.86,890861.0
2024-04-30,98.0,98.28,97.88,97.95,267432.0
2024-05-02,98.36,98.36,97.85,97.99,279921.0
2024-05-03,98.28,98.28,97.84,97.99,485694.0
2024-05-06,98.01,98.2,97.79,97.95,459362.0
2024-05-07,98.0,98.2,96.7,96.83,566928.0
2024-05-08,96.83,97.8,96.55,97.22,267824.0
2024-05-09,97.35,97.45,96.75,96.97,349157.0
2024-05-10,96.9,98.6,96.0,97.9,894124.0
2024-05-13,98.5,98.5,97.52,97.74,589332.0
2024-05-14,97.41,98.5,97.41,97.98,1130408.0
2024-05-15,98.37,98.37,97.75,97.97,789061.0
2024-05-16,97.51,98.33,97.5,97.96,1379772.0
2024-05-17,98.0,98.8,97.7,98.01,1207567.0
2024-05-21,97.5,98.03,97.45,97.76,806735.0
2024-05-22,98.1,98.1,97.5,97.77,559834.0
2024-05-23,100.0,100.0,98.1,98.47,1023029.0
2024-05-24,98.48,98.9,98.12,98.31,726615.0
2024-05-27,98.03,98.9,98.03,98.32,1459437.0
2024-05-28,96.65,97.5,96.0,96.47,1852275.0
2024-05-29,96.4,96.4,95.8,95.88,535928.0
2024-05-30,95.9,96.28,95.0,95.07,667854.0
2024-05-31,95.05,95.55,94.62,94.97,771833.0
2024-06-03,95.99,96.1,95.0,95.13,632766.0
2024-06-04,95.13,95.68,92.99,94.23,1842285.0
2024-06-05,94.4,95.57,94.01,95.44,557267.0
2024-06-06,96.35,96.35,95.51,95.84,625152.0
2024-06-07,95.99,96.0,95.0,95.7,1252083.0
2024-06-10,96.3,96.8,95.7,95.99,477652.0
2024-06-11,96.0,96.24,95.8,95.99,597446.0
2024-06-12,96.19,96.22,94.96,95.3,1534360.0
2024-06-13,95.75,95.97,95.01,95.78,512298.0
2024-06-14,95.77,96.15,95.7,96.05,857797.0
2024-06-18,96.3,96.38,95.52,96.02,601468.0
2024-06-19,96.2,96.27,95.73,95.93,723073.0
2024-06-20,96.49,96.49,95.72,95.97,1045108.0
2024-06-21,96.18,96.18,95.76,95.88,1021774.0
2024-06-24,96.1,96.15,95.78,96.01,1092984.0
2024-06-25,96.19,96.55,96.0,96.04,501921.0
2024-06-26,96.19,96.36,95.95,96.14,1323434.0
2024-06-27,96.2,96.21,95.78,95.99,653280.0
2024-06-28,96.0,96.2,95.76,95.92,553214.0
2024-07-01,96.0,96.09,95.61,95.76,675044.0
2024-07-02,95.78,96.04,95.76,95.99,1735185.0
2024-07-03,95.86,96.28,95.85,95.99,1172441.0
2024-07-04,96.2,96.2,95.84,95.99,1159759.0
2024-07-05,95.99,96.1,95.81,95.97,1097800.0
2024-07-08,96.32,96.32,95.86,95.93,939517.0
2024-07-09,96.2,96.38,95.86,95.92,1151542.0
2024-07-10,96.0,96.2,95.88,95.99,589557.0
2024-07-11,96.12,96.2,95.92,95.99,1599889.0
2024-07-12,95.99,96.1,95.85,95.97,2001330.0
2024-07-15,95.9,96.29,95.9,95.98,948668.0
2024-07-16,96.28,96.28,95.69,95.75,1377048.0
2024-07-18,95.98,95.98,95.49,95.6,1028665.0
2024-07-19,95.7,95.7,95.5,95.65,774711.0
2024-07-22,95.55,95.98,95.4,95.52,2500759.0
2024-07-23,95.32,98.0,95.31,95.96,2267108.0
2024-07-24,96.0,96.39,95.8,96.01,1126247.0
2024-07-25,96.3,96.3,95.8,95.9,2058159.0
2024-07-26,96.21,96.37,95.52,95.86,1134285.0
2024-07-29,96.0,96.55,95.93,95.99,1771028.0
2024-07-30,96.28,96.28,95.89,95.9,1760980.0
2024-07-31,96.0,96.0,95.71,95.99,1275000.0
2024-08-01,93.99,95.0,93.99,94.39,2468163.0
2024-08-02,94.39,94.49,93.91,94.27,883325.0
2024-08-05,94.25,94.25,93.02,93.42,1422782.0
2024-08-06,93.87,94.14,93.05,93.37,741893.0
2024-08-07,93.69,94.2,93.0,93.33,1310560.0
2024-08-08,93.75,94.11,93.2,94.0,1712580.0
2024-08-09,94.19,94.2,93.35,93.55,1368683.0
2024-08-12,93.7,93.7,93.15,93.49,769863.0
2024-08-13,93.71,93.89,93.01,93.32,635841.0
2024-08-14,93.73,93.73,93.38,93.44,378897.0
2024-08-16,93.5,93.74,93.14,93.28,655348.0
2024-08-19,93.4,93.45,93.02,93.19,774551.0
2024-08-20,93.24,93.45,93.0,93.07,925580.0
2024-08-21,93.19,93.19,92.95,93.16,1019738.0
2024-08-22,93.19,93.19,92.96,92.99,1020152.0
2024-08-23,93.01,93.19,92.8,93.11,940973.0
2024-08-26,93.11,93.19,92.0,92.19,1853670.0
2024-08-27,92.15,92.98,92.15,92.64,676481.0
2024-08-28,92.97,92.98,92.01,92.35,1119267.0
2024-08-29,92.4,92.6,92.0,92.12,807225.0
2024-08-30,92.47,92.47,91.8,91.86,1363374.0
2024-09-02,92.0,92.29,91.75,91.84,901451.0
2024-09-03,91.84,92.3,91.8,91.92,879106.0
2024-09-04,91.96,92.0,91.5,91.67,1109083.0
